補	Supplement
渡	Transit
接	Adjoin
再	Again
独	Alone
獣	Beast
菓	Cake
討	Chastise
故	Circumstance
較	Contrast
造	Create
創	Create
往	Depart
励	Encourage
激	Fierce
占	Fortune
障	Hinder
我	I
徴	Indication
授	Instruct
鉛	Lead
郵	Mail
針	Needle
従	Obey
豚	Pork
復	Restore
河	River
貯	Savings
印	Seal
振	Shake
刺	Stab
突	Stab
怪	Suspicious
汗	Sweat
筆	Writing Brush
怒	Angry
昇	Ascend
迷	Astray
招	Beckon
腹	Belly
睡	Drowsy
康	Ease
端	Edge
極	Extreme
郎	Guy
健	Healthy
誘	Invite
貸	Lend
惑	Misguided
痛	Pain
退	Retreat
途	Route
給	Salary
就	Settle In
靴	Shoes
眠	Sleep
暇	Spare Time
段	Steps
胃	Stomach
症	Symptom
濃	Thick
締	Tighten
迫	Urge
訪	Visit
織	Weave
悩	Worry
屈	Yield
攻	Aggression
撃	Attack
浜	Beach
綺	Beautiful
益	Benefit
児	Child
憲	Constitution
冷	Cool
処	Deal With
微	Delicate
修	Discipline
博	Exhibition
程	Extent
絶	Extinction
凍	Frozen
巨	Giant
稚	Immature
幼	Infancy
並	Line Up
麗	Lovely
奇	Odd
衆	Populace
潔	Pure
清	Pure
録	Record
逆	Reverse
移	Shift
精	Spirit
隊	Squad
庫	Storage
妙	Strange
券	Ticket
傘	Umbrella
婦	Wife
略	Abbreviation
積	Accumulate
添	Append
寄	Approach
宴	Banquet
板	Board
壊	Break
督	Coach
僚	Colleague
杯	Cup Of Liquid
娘	Daughter
診	Diagnose
乾	Dry
欧	Europe
恐	Fear
猛	Fierce
江	Inlet
韓	Korea
雄	Male
航	Navigation
監	Oversee
宗	Religion
請	Request
怖	Scary
索	Search
臣	Servant
催	Sponsor
街	Street
詰	Stuffed
緊	Tense
閣	The Cabinet
促	Urge
烈	Violent
帯	Belt
廊	Corridor
離	Detach
径	Diameter
融	Dissolve
均	Equal
除	Exclude
貨	Freight
孫	Grandchild
墓	Grave
幾	How Many
尋	Inquire
編	Knit
陸	Land
探	Look For
豪	Luxurious
鑑	Model
泥	Mud
巣	Nest
普	Normal
棒	Pole
粉	Powder
既	Previously
救	Rescue
似	Resemble
富	Rich
散	Scatter
華	Showy
嘆	Sigh
偵	Spy
驚	Surprised
掃	Sweep
菜	Vegetable
脈	Vein
徳	Virtue
倉	Warehouse
酸	Acid
賛	Agree
祖	Ancestor
銭	Coin
込	Crowded
衛	Defense
机	Desk
汚	Dirty
飼	Domesticate
複	Duplicate
染	Dye
卵	Egg
永	Eternity
績	Exploits
眼	Eyeball
液	Fluid
採	Gather
志	Intention
興	Interest
恩	Kindness
久	Long Time
党	Party
序	Preface
雑	Random
桜	Sakura
密	Secrecy
秘	Secret
厳	Strict
捨	Throw Away
訳	Translation
欲	Want
暖	Warm
迎	Welcome
傷	Wound
灰	Ashes
装	Attire
著	Author
裏	Backside
閉	Closed
垂	Dangle
漠	Desert
異	Differ
皇	Emperor
拡	Extend
暮	Livelihood
忠	Loyalty
肺	Lung
誌	Magazine
操	Manipulate
筋	Muscle
否	No
盛	Pile
宣	Proclaim
賃	Rent
敬	Respect
尊	Revered
熟	Ripen
噂	Rumor
砂	Sand
簡	Simplicity
蒸	Steam
蔵	Storehouse
糖	Sugar
納	Supply
諸	Various
窓	Window
豆	Beans
枝	Branch
揮	Brandish
刻	Carve
爪	Claw
承	Consent
幕	Curtain
紅	Deep Red
歓	Delight
降	Descend
奴	Dude
聖	Holy
推	Infer
臓	Internal Organs
損	Loss
磁	Magnet
誤	Mistake
源	Origin
芋	Potato
純	Pure
薦	Recommend
丼	Rice Bowl
腐	Rot
沿	Run Alongside
射	Shoot
縮	Shrink
隷	Slave
粋	Stylish
痩	Thin
吐	Throw Up
貴	Valuable
縦	Vertical
勤	Work
拝	Worship
熊	Bear
噌	Boisterous
彫	Carve
杉	Cedar
喋	Chat
銅	Copper
舎	Cottage
酔	Drunk
炎	Flame
彼	He
紹	Introduce
介	Jammed In
湖	Lake
講	Lecture
寿	Lifespan
測	Measure
互	Mutual
油	Oil
己	Oneself
払	Pay
鍋	Pot
獄	Prison
為	Sake
恥	Shame
遅	Slow
汁	Soup
醤	Soy Sauce
滞	Stagnate
剣	Sword
破	Tear
亀	Turtle
厄	Unlucky
酢	Vinegar
諾	Agreement
盟	Alliance
将	Commander
舞	Dance
債	Debt
伎	Deed
鹿	Deer
換	Exchange
牙	Fang
旧	Former
般	Generally
津	Haven
療	Heal
継	Inherit
遺	Leave Behind
維	Maintain
奈	Nara
核	Nucleus
廃	Obsolete
献	Offer
沖	Open Sea
摘	Pluck
及	Reach
依	Reliant
縄	Rope
鮭	Salmon
踏	Step
伸	Stretch
姓	Surname
甘	Sweet
貿	Trade
頼	Trust
超	Ultra
幅	Width
患	Afflicted
狙	Aim
陣	Army Base
塁	Base
弾	Bullet
葬	Burial
抗	Confront
崩	Crumble
遣	Dispatch
掲	Display
爆	Explode
眉	Eyebrows
恵	Favor
漁	Fishing
香	Fragrance
湾	Gulf
跳	Hop
抱	Hug
旬	In Season
聴	Listen
臨	Look To
兆	Omen
契	Pledge
刑	Punish
募	Recruit
償	Reparation
抵	Resist
戻	Return
昭	Shining
串	Skewer
闘	Struggle
執	Tenacious
跡	Traces
削	Whittle Down
伴	Accompany
齢	Age
宜	Best Regards
賂	Bribe
賄	Bribe
房	Cluster
慮	Consider
託	Consign
却	Contrary
需	Demand
致	Do
避	Dodge
描	Draw
刊	Edition
逃	Escape
扱	Handle
奥	Interior
併	Join
膝	Knee
傾	Lean
緩	Loose
奏	Play Music
娠	Pregnant
妊	Pregnant
贈	Presents
択	Select
還	Send Back
繰	Spin
抑	Suppress
懸	Suspend
称	Title
緒	Together
盤	Tray
控	Abstain
宛	Address
充	Allocate
渋	Bitter
岐	Branch Off
